current_role_id,next_role_id,current_level,next_level,domain,required_new_skills,nice_to_have_skills,estimated_time_months,difficulty
INTERN_SE,JR_MOBILE_DEV,1,2,SOFTWARE_ENGINEERING,SK019|SK023|SK055|SK070|SK078|SK081|SK083|SK098|SK109|SK116|SK142|SK143|SK146|SK151|SK180|SK231|SK237|SK243,SK035|SK059|SK100|SK133|SK134|SK158|SK204|SK258|SK279,6,hard
JR_MOBILE_DEV,DATA_ENGINEER_INT,2,3,SOFTWARE_ENGINEERING,SK003|SK004|SK039|SK043|SK060|SK085|SK106|SK129|SK177|SK192,SK011|SK012|SK031|SK105|SK115|SK124|SK175|SK217|SK244|SK253|SK270|SK275|SK277|SK285,6,medium
JR_MOBILE_DEV,JR_BUSINESS_ANALYST,2,3,DATA,SK145|SK241|SK263|SK266,SK067|SK148|SK177|SK226|SK284|SK296,6,easy
DEVOPS_TRAINEE,AI_ML_ENGINEER_INT,1,2,AI_ML,SK031|SK034|SK277,SK043|SK060|SK091,6,easy
AI_ML_ENGINEER_INT,AI_ML_ENGINEER_INT,2,3,AI_ML,,,6,easy
JR_QA_ENG,JR_QA_ENG,2,3,QA,,,6,easy
JR_UI_UX_DESIGNER,JR_UI_UX_DESIGNER,2,3,UIUX,,,6,easy
