degree_name,Type,Institute,Faculty
Bachelor of Business Administration (Special) in Human Resource Management,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Business Administration (Special) in Marketing Management,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Business Administration (Special) in Operations Management,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Commerce,Undergraduate,University of Peradeniya,Faculty of Arts
Bachelor of Law,Undergraduate,University of Peradeniya,Faculty of Arts
Master of Arts in Applied Economics,Postgraduate,University of Peradeniya,Faculty of Arts
Master of Development Practice,Postgraduate,University of Peradeniya,Faculty of Arts
Bachelor of Dental Surgery,Undergraduate,University of Peradeniya,Faculty of Dental Sciences
Bachelor of Science (Special) in Chemical & Process Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Civil Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Computer Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Electrical & Electronic Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Mechanical Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
Bachelor of Science (Special) in Production Engineering,Undergraduate,University of Peradeniya,Faculty of Engineering
MBBS,Undergraduate,University of Peradeniya,Faculty of Medicine
Master of Science in Excercise and Sport Sciences,Postgraduate,University of Peradeniya,Faculty of Medicine
Bachelor of Science (General),Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Animal Science & Fisheries,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Biology,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Botany,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Chemistry,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science in Computation & Management,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Computer Science,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Geology,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Mathematics,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Molecular Biology & Biotechnology,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Physics,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Statistics,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science in Statistics & Operations Research,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Special) in Zoology,Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Science (Applied Sciences),Undergraduate,University of Peradeniya,Faculty of Science
Bachelor of Veterinary Science,Undergraduate,University of Peradeniya,Faculty of Veterinary Medicine & Animal Science
Bachelor of Applied Science in Food Technology,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (General),Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special),Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Botany,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Chemistry,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
Bachelor of Science (Special) in Computer Science,Undergraduate,University of Sri Jayewardenepura,Faculty of Applied Sciences
